Week, DP, AP, FCFS
1, 92272, 74912, 73263
2, 92795, 83806, 72552
3, 92915, 86457, 72358
4, 92995, 84450, 73652
5, 92675, 77650, 73378
6, 92725, 77514, 65676
7, 92989, 84199, 66930
8, 92990, 83869, 69809
9, 92822, 84313, 69535
10, 92931, 83918, 63331
11, 93035, 84225, 65313
12, 92980, 84525, 69200
13, 92984, 84191, 67391
14, 92878, 84968, 64676
15, 92784, 84330, 64119
16, 92859, 84195, 68737
17, 92840, 83846, 67482
18, 93056, 83965, 63814
19, 92848, 83591, 64979
20, 92958, 83230, 68605
21, 93055, 83209, 66875
22, 93047, 83788, 64105
23, 92722, 82318, 66150
24, 92958, 83538, 69067
25, 92799, 81957, 66831
26, 93021, 82741, 65025
27, 92797, 82761, 65810
28, 92794, 82615, 67285
29, 92878, 80886, 67025
30, 92866, 81915, 65166
